Name,Role,Backstory
Captain Roeg Tharn,Captain of the Guard,"A former battlefield commander now demoted to town guard, Roeg drinks too much and speaks too little. His eyes never stop scanning doorways, and he keeps a locket of his lost daughter tucked in his breastplate."
Guard Elric Stone,Active Guard,Veteran swordsman known for his brutal honesty and unmatched stamina. Rumored to have once slain a bandit captain with a broken stool.
Guard Tamma Coil,Active Guard,A slender archer who volunteers for night shifts. She sleeps little and always carries extra arrows dipped in wolf’s bane—just in case.
Guard Brannik Leff,Active Guard,"Brannik is large, slow, and fiercely loyal. He once stood unmoving during a full riot, simply shielding a child until it passed."
Guard Lysa Harl,Active Guard,"New to the force, Lysa is idealistic and struggles with orders that conflict with her morals. Keeps a prayer charm hidden beneath her helm."
Guard Dorn Kray,Active Guard,"A gambler and cynic, Dorn joined the guard to avoid jail. He's always one step from disgrace, yet oddly effective when cornered."
Guard Nirel Foss,Active Guard,"Raised in Karnstadt, Nirel knows every alley and backdoor. Works as unofficial scout and informant. Might have a deal with the Thieves' Ring."
Guard Urek Sharr,Active Guard,"Silent and scarred, Urek is the executioner when duties demand it. He never speaks, but is known to hum lullabies."
Guard Merec Dunn,Active Guard,"Once a tavern brawler, Merec joined the guard to clean up. Now channels his violence into his job—and it shows."
Guard Fennic Quarr,Active Guard,A charmer who knows the law better than his captain. Suspected of helping certain merchants avoid fines—for a price.
Guard Velda Troon,Active Guard,"The oldest guard still on active duty, Velda fought in the Hill Wars and wears her medals beneath her cuirass. She mentors the youngest recruits."
Jailer Thromm,Jailer,"A hulking man with a calm demeanor, Thromm tends the cells and brews strong tea. He’s kind to prisoners, unless they scream too much."
Jailer Reeva Morl,Jailer,"Sharp-eyed and sarcastic, Reeva runs the records and interrogations. She takes pride in her orderliness and her hidden knife collection."
