Location,Description,Facility
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",Main reading hall
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",sealed Vaults below
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",scriptorium
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",restricted wing
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",rooftop observatory
The Vaults,"Deep beneath the Library, ancient mechanical halls sealed since the Catastrophe. Rumored to house lost technologies, pre-cataclysmic constructs, and forbidden devices.",Arcane locking systems
The Vaults,"Deep beneath the Library, ancient mechanical halls sealed since the Catastrophe. Rumored to house lost technologies, pre-cataclysmic constructs, and forbidden devices.",mechanical chambers
The Vaults,"Deep beneath the Library, ancient mechanical halls sealed since the Catastrophe. Rumored to house lost technologies, pre-cataclysmic constructs, and forbidden devices.",cryptic archives
The Vaults,"Deep beneath the Library, ancient mechanical halls sealed since the Catastrophe. Rumored to house lost technologies, pre-cataclysmic constructs, and forbidden devices.",containment rooms
Chapel of Edras,"A crumbling chapel dedicated to Edras, god of dusk, memory, and secrets. Candlelit vigils are held nightly.",Altar
Chapel of Edras,"A crumbling chapel dedicated to Edras, god of dusk, memory, and secrets. Candlelit vigils are held nightly.",confession crypts
Chapel of Edras,"A crumbling chapel dedicated to Edras, god of dusk, memory, and secrets. Candlelit vigils are held nightly.",herb garden
Chapel of Edras,"A crumbling chapel dedicated to Edras, god of dusk, memory, and secrets. Candlelit vigils are held nightly.",bell tower
Baron's Manse,"An aging manor on the northern cliff, occupied by Baron Veynar. Its halls echo with political scheming and isolation.",Audience hall
Baron's Manse,"An aging manor on the northern cliff, occupied by Baron Veynar. Its halls echo with political scheming and isolation.",war room
Baron's Manse,"An aging manor on the northern cliff, occupied by Baron Veynar. Its halls echo with political scheming and isolation.",private garden
Baron's Manse,"An aging manor on the northern cliff, occupied by Baron Veynar. Its halls echo with political scheming and isolation.",vault
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",Stalls
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",weighing station
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",dried goods storehouse
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",Common room
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",4 rented rooms
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",cellar
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",gambling table
Guard Barracks,"Stone-walled quarters with armory and training grounds. Morale is low, and supplies are scarce.",Bunks
Guard Barracks,"Stone-walled quarters with armory and training grounds. Morale is low, and supplies are scarce.",mess hall
Guard Barracks,"Stone-walled quarters with armory and training grounds. Morale is low, and supplies are scarce.",armory
Guard Barracks,"Stone-walled quarters with armory and training grounds. Morale is low, and supplies are scarce.",4-cell jail
East Gate,Main trade route entry. Weathered gate flanked by watchtowers and rusted portcullis.,Gatehouse
East Gate,Main trade route entry. Weathered gate flanked by watchtowers and rusted portcullis.,lookout posts
East Gate,Main trade route entry. Weathered gate flanked by watchtowers and rusted portcullis.,checkpoint ledger
West Gate,Rarely used exit toward moors and forgotten paths. Less secure.,One tower
West Gate,Rarely used exit toward moors and forgotten paths. Less secure.,rotting stables
The Old Cemetery,Fog-covered graveyard behind the chapel. Graves vary from honored knights to unmarked paupers.,Mausoleum
The Old Cemetery,Fog-covered graveyard behind the chapel. Graves vary from honored knights to unmarked paupers.,chapel crypt access
The Old Cemetery,Fog-covered graveyard behind the chapel. Graves vary from honored knights to unmarked paupers.,bone pit
