Location,Description,Person
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",Scholars
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",scribes
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",apprentices
Karnstadt Library,"A towering structure of black stone and stained glass, filled with pre-Catastrophe scrolls, arcane tomes, and lost histories. Maintained by scholars and whispered to be older than the town itself.",one Head Archivist (currently absent)
The Vaults,"Deep beneath the Library, ancient mechanical halls sealed since the Catastrophe. Rumored to house lost technologies, pre-cataclysmic constructs, and forbidden devices.",None known currently. Previously overseen by the Mechanist Order (defunct).
Chapel of Edras,"A crumbling chapel dedicated to Edras, god of dusk, memory, and secrets. Candlelit vigils are held nightly.",1 Elder Priestess
Chapel of Edras,"A crumbling chapel dedicated to Edras, god of dusk, memory, and secrets. Candlelit vigils are held nightly.",2 Novices
Chapel of Edras,"A crumbling chapel dedicated to Edras, god of dusk, memory, and secrets. Candlelit vigils are held nightly.",few faithful townsfolk
Baron's Manse,"An aging manor on the northern cliff, occupied by Baron Veynar. Its halls echo with political scheming and isolation.",Baron Veynar
Baron's Manse,"An aging manor on the northern cliff, occupied by Baron Veynar. Its halls echo with political scheming and isolation.",4 house guards
Baron's Manse,"An aging manor on the northern cliff, occupied by Baron Veynar. Its halls echo with political scheming and isolation.",2 stewards
Baron's Manse,"An aging manor on the northern cliff, occupied by Baron Veynar. Its halls echo with political scheming and isolation.",1 secretive advisor
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",Merchants
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",peddlers
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",farmers
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",townsfolk
Market Square,"The heart of daily commerce, surrounded by wooden stalls and faded guild banners. Sparse trade flows in from the east road.",1 market overseer
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",Innkeeper Brana
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",2 servers
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",1 bard
The Broken Tankard Inn,"A smoky, dim inn known for bitter ale and stranger gossip. Frequented by guards, loners, and travelers.",rough clientele
Guard Barracks,"Stone-walled quarters with armory and training grounds. Morale is low, and supplies are scarce.",Captain Roeg
Guard Barracks,"Stone-walled quarters with armory and training grounds. Morale is low, and supplies are scarce.",10 active guards
Guard Barracks,"Stone-walled quarters with armory and training grounds. Morale is low, and supplies are scarce.",2 jailers
East Gate,Main trade route entry. Weathered gate flanked by watchtowers and rusted portcullis.,3 rotating guards
East Gate,Main trade route entry. Weathered gate flanked by watchtowers and rusted portcullis.,occasional caravans
West Gate,Rarely used exit toward moors and forgotten paths. Less secure.,2 part-time guards
West Gate,Rarely used exit toward moors and forgotten paths. Less secure.,few wanderers
The Old Cemetery,Fog-covered graveyard behind the chapel. Graves vary from honored knights to unmarked paupers.,Caretaker Luth
The Old Cemetery,Fog-covered graveyard behind the chapel. Graves vary from honored knights to unmarked paupers.,sometimes local mourners
